Название;Производитель;Категория;Розничная цена;Оптовая цена;Плотность (г/м2);Мартиндейл (циклы);Свойства;Тип ткани;Ссылка на товар
FARNIENTE 24 col. 2-4, 5*, 8, 9*, 10*, 12, 13, 15 Coord: Spritz, Strange Loves, Forever Double-face;Dedar;Премиум;80.0;;500;23000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/farniente/
FIFTY FIFTY col. 1*, 2, 4, 6, 7, 9-14, 31*, 32, 33*, 34, 36, 40-42, 43*, 53-59;Dedar;Премиум;89.0;;450;30000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/fifty-fifty/
FILIGREE All;Dedar;Премиум;85.0;;428;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/filigree/
FLAIR 2 col. 103, 106, 107, 108, 111-113, 114*, 115, 120, 121*, 122, 128, 129, 141, 143, 151*, 152*, 154, 165, 166, 168, 169 Coord: Marzban;Dedar;Премиум;86.5;;780;30000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/flair/
FLIMFLAM All;Dedar;Премиум;174.0;;1349;29000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/flimflam/
FOREVER col. 101, 102, 105*, 106*, 107*, 109*, 110*, 111, 112, 113*, 115*, 116, 117, 119*, 121* Coord: Farniente, Strange Loves, Spritz;Dedar;Премиум;64.0;;410;17000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/forever/
FR ALABASTRO All;Dedar;Премиум;122.5;;1051;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/from-nature/
FR ALAYA col. 1, 2, 3*, 4;Dedar;Премиум;117.5;;1051;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/from-nature/
FR GONG col. 1;Dedar;Премиум;122.5;;1051;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/from-nature/
FR PURE DAMASK col. 2, 3;Dedar;Премиум;127.5;;1051;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/from-nature/
FR SONG-WAY col. 1, 2, 3*, 5*;Dedar;Премиум;102.5;;1051;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/from-nature/
FR SPARKS All;Dedar;Премиум;98.0;;1051;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/from-nature/
FREE JAZZ All Coord: L'Avventura;Dedar;Премиум;136.0;;450;14000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/free-jazz/
FROM NATURE 91, 92 col. 1 col. 2-6;Dedar;Премиум;272.5;;1051;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/from-nature/
FUNKY STRIPES 21 col. 1, 2, 4-7;Dedar;Премиум;149.5;;430;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/funky-stripes/
GABBIANO All;Dedar;Премиум;84.0;;874;45000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/gabbiano/
GABOR 71 All;Dedar;Премиум;104.0;;354;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/gabor/
GARBO* col. 1*;Dedar;Премиум;77.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
GARÇONNE 71 col. 1 Double-face;Dedar;Премиум;140.0;;320;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/garconne/
GENOA col. 1-4, 5*;Dedar;Премиум;110.0;;441;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/genoa/
GIARDINO DI MAGGIO col. 1;Dedar;Премиум;140.0;;831;65000;nan, Премиальное качество;Шенилл;https://dedar.com/il-giardino-in-una-stanza/
GILDO 21 All;Dedar;Премиум;99.0;;726;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/gildo/
GIMEL 8 col. 1, 2, 3*, 4*;Dedar;Премиум;150.0;;1278;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/gimel/
GINGER* col. 1*;Dedar;Премиум;115.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
GONG* col. 1*;Dedar;Премиум;172.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
GOODFELLAS 92 col. 1 col. 2;Dedar;Премиум;162.5;;1114;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/goodfellas/
GRAND NATTE' col. 1, 3* Coord: Gran Nattè Laminato;Dedar;Премиум;135.0;;868;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/grand-natte-laminato/
GRAND NATTE' LAMINATO col. 1 Coord: Gran Nattè;Dedar;Премиум;163.0;;868;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/grand-natte-laminato/
GRENADINE col. 1-4, 5*;Dedar;Премиум;134.0;;1001;51000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/grenadine/
GRI-GRI 70 col. 1, 2, 4;Dedar;Премиум;82.5;;253;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/gri-gri/
GRISAILLE 60 col. 1;Dedar;Премиум;104.0;;830;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/grisaille/
HAINIDES 71, 87 All;Dedar;Премиум;142.5;;679;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hainides/
HANA-BI col. 1, 2*, 3;Dedar;Премиум;280.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hana-bi/
HATKA R All;Dedar;Премиум;122.5;;730;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hatka-r/
HIBOU 8 col. 1;Dedar;Премиум;202.5;;1182;24000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hibou/
HIGHLIGHTS All;Dedar;Премиум;135.0;;670;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/highlights/
HOLDEN 61 All;Dedar;Премиум;90.0;;951;80000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/holden/
HORIZON 19, 52 col. 1*, 3;Dedar;Премиум;155.0;;562;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/dancing-the-horizon/
HOW SOON IS NOW? All Coord: Chintz Nature;Dedar;Премиум;215.0;;420;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/how-soon-is-now/
HSH HOME SWEET HOME All;Dedar;Премиум;130.0;;1596;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hsh-home-sweet-home/
HUGO col. 1, 2*;Dedar;Премиум;101.5;;915;34000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hugo/
HURLUBERLU All;Dedar;Премиум;135.0;;450;80000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/hurluberlu/
I’M IN HEAVEN 86 col. 1 Coord: Cielo;Dedar;Премиум;137.5;;214;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/im-in-heaven/
IBLA All;Dedar;Премиум;124.5;;450;8000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/ibla/
ICHI-GO ICHI-E All Coord: Aristotele;Dedar;Премиум;197.5;;1025;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/ichi-go-ichi-e/
IKAT* col. 102*, 114*;Dedar;Премиум;189.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
IKI col. 1, 2;Dedar;Премиум;137.5;;856;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/iki/
IL GIARDINO IN UNA STANZA 92 All;Dedar;Премиум;122.5;;548;15000;nan, Премиальное качество;Шенилл;https://dedar.com/adorabile-alpaca/
IN DISCIPLINE All;Dedar;Премиум;149.0;;720;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tiger-mountain/
IN FOLIO All;Dedar;Премиум;144.5;;720;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tiger-mountain/
INGRID 24 col. 1 Coord: Luchino, Pauline;Dedar;Премиум;110.5;;897;70000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/ingrid/
IRIS 20, 23 col. 2-10, 13, 14*, 16*, 17, 18*, 23, 24*, 26, 27*, 30-33, 34*, 35- 38, 39*, 40, 41, 44*;Dedar;Премиум;84.0;;529;10000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/iris/
JAMU JUNGLE 92 All;Dedar;Премиум;122.5;;744;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/jamu-jungle/
JASPER col. 1, 4, 7, 9;Dedar;Премиум;125.0;;800;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/jasper/
JOHN KELLY 1763* col. 1*, 2*;Dedar;Премиум;125.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/john-kelly-1763/
KARAKORUM 8 All;Dedar;Премиум;121.5;;1140;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/karakorum/
KARANDASH 8 All;Dedar;Премиум;122.5;;865;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/karandash/
KIKU All;Dedar;Премиум;208.5;;790;6000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/kiku/
KIN col. 1;Dedar;Премиум;64.0;;406;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/kin/
KOTAKOT All;Dedar;Премиум;230.0;;450;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/kotakot/
KYLLIKKI* All;Dedar;Премиум;127.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
L’ÂGE D’OR All;Dedar;Премиум;194.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
L'AVVENTURA col. 1 Coord: Free Jazz;Dedar;Премиум;131.5;;370;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lavventura/
LAETITIA All;Dedar;Премиум;110.0;;1827;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/laetitia/
LAMBERTO 8, 64, 70, 81 All;Dedar;Премиум;112.5;;887;10000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lamberto/
LAND R All Coord: Roman Squares;Dedar;Премиум;104.0;;649;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/land-r/
LANDSCAPE col. 2, 4 Double-face;Dedar;Премиум;122.5;;717;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/landscape/
LEONTIGRE 92 col. 1;Dedar;Премиум;130.0;;749;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/leontigre/
LEPORELLO 71, 88 col. 1;Dedar;Премиум;102.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/leporello/
LES LIAISONS AMOUREUSES All;Dedar;Премиум;140.0;;765;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/nouvelles-vagues/
LESS IS MORE All;Dedar;Премиум;125.0;;485;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/less-is-more/
LETTERE PERSIANE* 65 col. 1-3* Coord: Marzban, Wide Wool Tela;Dedar;Премиум;274.5;;204;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lettere-persiane/
